_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
008.8121; -3.5928;999.0000;+99.0000;  3196;00 35 14.9;-03 35 34; 5.20; 0.56;  F8V
008.8867; -0.5056;999.0000;+99.0000;  3229;00 35 32.8;-00 30 20; 5.93; 0.44;  F5IV
009.0346;+54.1686;999.0000;+99.0000;  3240;00 36 08.3;+54 10 07; 5.08;-0.11;  B7III
008.9779;+13.2067;999.0000;+99.0000;  3268;00 35 54.7;+13 12 24; 6.41; 0.52;  F7V
009.1137;+60.3261;999.0000;+99.0000;  3283;00 36 27.3;+60 19 34; 5.79; 0.29;  A4III
008.9212;-48.0008;999.0000;+99.0000;  3302;00 35 41.1;-48 00 03; 5.51; 0.44;  F6V
008.8892;-54.8219;999.0000;+99.0000;  3303;00 35 33.4;-54 49 19; 6.06; 1.01;  K0IV
009.0833;+27.2547;999.0000;+99.0000;  3322;00 36 20.0;+27 15 17; 6.50;-0.09;  B8IIIpHgMn:
009.0125;-14.9736;999.0000;+99.0000;  3325;00 36 03.0;-14 58 25; 6.45; 1.06;  G9III
009.0288;-22.8425;999.0000;+99.0000;  3326;00 36 06.9;-22 50 33; 6.06; 0.29;  A6pSr
009.1942;+44.4886;999.0000;+99.0000;  3346;00 36 46.6;+44 29 19; 5.13; 1.60;  K5-M0III
009.2429;+53.8969;999.0000;+99.0000;  3360;00 36 58.3;+53 53 49; 3.66;-0.20;  B2IV
009.2204;+33.7194;999.0000;+99.0000;  3369;00 36 52.9;+33 43 10; 4.36;-0.14;  B5V
009.1971;+15.2317;999.0000;+99.0000;  3379;00 36 47.3;+15 13 54; 5.89;-0.15;  B2.5IV
009.2800;+24.0142;999.0000;+99.0000;  3411;00 37 07.2;+24 00 51; 6.47;     ;  K2III
009.3379;+35.3994;999.0000;+99.0000;  3421;00 37 21.1;+35 23 58; 5.48; 0.88;  G2.5IIa
009.9471;+82.4939;999.0000;+99.0000;  3440;00 39 47.3;+82 29 38; 6.40; 0.55; dF6
009.3362;-24.7672;999.0000;+99.0000;  3443;00 37 20.7;-24 46 02; 5.57; 0.72;  G8V
009.1558;-65.1247;999.0000;+99.0000;  3444;00 36 37.4;-65 07 29; 6.42; 1.26;  K2-3III
009.3771; +3.1353;999.0000;+99.0000;  3457;00 37 30.5;+03 08 07; 6.39; 1.33;  K4III
009.3254;-54.3942;999.0000;+99.0000;  3488;00 37 18.1;-54 23 39; 6.41; 1.00;  K0II-IIICNIV
009.6388;+29.3117;999.0000;+99.0000;  3546;00 38 33.3;+29 18 42; 4.37; 0.87;  G6IIIFe-3CH1
009.7912;+49.3544;999.0000;+99.0000;  3574;00 39 09.9;+49 21 16; 5.43; 1.64;  K7III
009.8321;+30.8608;999.0000;+99.0000;  3627;00 39 19.7;+30 51 39; 3.27; 1.28;  K3III
009.8408;+21.2506;999.0000;+99.0000;  3651;00 39 21.8;+21 15 02; 5.87; 0.85;  K0+V
009.9817;+21.4383;999.0000;+99.0000;  3690;00 39 55.6;+21 26 18; 5.36; 1.16;  K0III+F3V
010.1271;+56.5372;999.0000;+99.0000;  3712;00 40 30.5;+56 32 14; 2.23; 1.17;  K0IIIa
009.6700;-73.1372;999.0000;+99.0000;  3719;00 38 40.8;-73 08 14; 6.85; 0.11;  A1m
