Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS02	1.25E+02	"[1.180e+2,1.320e+2]"	8.56E-06	positron	9.90E-07	6.60E-07	3.30E-07	0	7.57E-06	9.55E-06
AMS02	1.40E+02	"[1.320e+2,1.490e+2]"	6.21E-06	positron	7.80E-07	5.30E-07	2.50E-07	0	5.43E-06	6.99E-06
AMS02	1.59E+02	"[1.490e+2,1.700e+2]"	5.23E-06	positron	6.70E-07	4.50E-07	2.20E-07	0	4.56E-06	5.90E-06
AMS02	1.83E+02	"[1.700e+2,1.980e+2]"	3.19E-06	positron	4.60E-07	3.20E-07	1.40E-07	0	2.73E-06	3.65E-06
AMS02	2.16E+02	"[1.980e+2,2.370e+2]"	2.08E-06	positron	3.30E-07	2.30E-07	1.00E-07	0	1.75E-06	2.41E-06
AMS02	2.62E+02	"[2.370e+2,2.900e+2]"	1.21E-06	positron	2.40E-07	1.70E-07	7.00E-08	0	9.70E-07	1.45E-06
AMS02	3.27E+02	"[2.900e+2,3.700e+2]"	6.17E-07	positron	1.58E-07	1.20E-07	3.80E-08	0	4.59E-07	7.75E-07
AMS02	4.29E+02	"[3.700e+2,5.000e+2]"	2.47E-07	positron	9.50E-08	7.30E-08	2.20E-08	0	1.52E-07	3.42E-07
AMS01BSPhotons	1.75E+00	-	1.07E+01	electron	1.07E+01	5.43E+00	5.26	555	0.00E+00	2.14E+01
AMS01BSPhotons	2.50E+00	-	3.52E+00	electron	2.13E+00	1.05E+00	1.075	555	1.39E+00	5.65E+00
AMS01BSPhotons	3.74E+00	-	2.21E+00	electron	6.28E+00	5.79E+00	4.88E-01	555	 	8.49E+00
AMS01BSPhotons	5.25E+00	-	1.35E+00	electron	6.30E-01	2.93E-01	3.37E-01	555	7.20E-01	1.98E+00
AMS01BSPhotons	7.47E+00	-	4.17E-01	electron	1.64E-01	8.32E-02	8.11E-02	555	2.53E-01	5.81E-01
AMS01BSPhotons	1.18E+01	-	9.64E-02	electron	3.62E-02	1.75E-02	1.87E-02	555	6.02E-02	1.33E-01
AMS01BSPhotons	2.07E+01	-	1.14E-02	electron	6.35E-03	2.86E-03	3.49E-03	555	5.05E-03	1.78E-02
AMS01BSPhotons	3.82E+01	-	3.44E-03	electron	2.80E-03	1.33E-03	1.47E-03	555	6.40E-04	6.24E-03
